Time [s],PID,Address,Endpoint,Frame #,Data,CRC
0.0000000000,SETUP,0x00,0x00,,,0x02
0.0000247200,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x40 0x00,0x94DD
0.0000944000,ACK,,,,,
0.0001259200,IN,0x00,0x00,,,0x02
0.0001528200,NAK,,,,,
0.0001974900,IN,0x00,0x00,,,0x02
0.0002243200,NAK,,,,,
0.0003568700,IN,0x00,0x00,,,0x02
0.0003838200,DATA1,,,,0x12 0x01 0x10 0x01 0xFF 0x00 0x00 0x08,0x6321
0.0004523600,ACK,,,,,
0.0004784300,IN,0x00,0x00,,,0x02
0.0005053200,NAK,,,,,
0.0005597500,IN,0x00,0x00,,,0x02
0.0005865800,NAK,,,,,
0.0006598200,IN,0x00,0x00,,,0x02
0.0006867400,DATA0,,,,0xC0 0x16 0xDC 0x05 0x02 0x01 0x01 0x02,0x10CB
0.0007546500,ACK,,,,,
0.0007858200,IN,0x00,0x00,,,0x02
0.0008126600,NAK,,,,,
0.0008428000,IN,0x00,0x00,,,0x02
0.0008697500,DATA1,,,,0x00 0x01,0x8F3F
0.0009062900,ACK,,,,,
0.0009387600,OUT,0x00,0x00,,,0x02
0.0009634800,DATA1,,,,,0x0000
0.0009898300,ACK,,,,,
0.0445041100,SETUP,0x00,0x00,,,0x02
0.0445288300,DATA0,,,,0x00 0x05 0x3C 0x00 0x00 0x00 0x00 0x00,0xC8EF
0.0445985100,ACK,,,,,
0.0446300700,IN,0x00,0x00,,,0x02
0.0446570100,DATA1,,,,,0x0000
0.0446822400,ACK,,,,,
0.0554877500,SETUP,0x3C,0x00,,,0x06
0.0555124700,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x12 0x00,0xF4E0
0.0555823100,ACK,,,,,
0.0556219600,IN,0x3C,0x00,,,0x06
0.0556488900,NAK,,,,,
0.0557169000,IN,0x3C,0x00,,,0x06
0.0557438900,DATA1,,,,0x12 0x01 0x10 0x01 0xFF 0x00 0x00 0x08,0x6321
0.0558124400,ACK,,,,,
0.0558283200,IN,0x3C,0x00,,,0x06
0.0558552300,NAK,,,,,
0.0559169100,IN,0x3C,0x00,,,0x06
0.0559437300,NAK,,,,,
0.0559944200,IN,0x3C,0x00,,,0x06
0.0560213200,DATA0,,,,0xC0 0x16 0xDC 0x05 0x02 0x01 0x01 0x02,0x10CB
0.0560892200,ACK,,,,,
0.0561278100,IN,0x3C,0x00,,,0x06
0.0561547400,DATA1,,,,0x00 0x01,0x8F3F
0.0561912800,ACK,,,,,
0.0563620100,OUT,0x3C,0x00,,,0x06
0.0563867300,DATA1,,,,,0x0000
0.0564130700,ACK,,,,,
0.0610583300,SETUP,0x3C,0x00,,,0x06
0.0610830500,DATA0,,,,0x80 0x06 0x00 0x02 0x00 0x00 0xFF 0x00,0xA4E9
0.0611535000,ACK,,,,,
0.0611887200,IN,0x3C,0x00,,,0x06
0.0612155800,NAK,,,,,
0.0613624700,IN,0x3C,0x00,,,0x06
0.0613893400,DATA1,,,,0x09 0x02 0x12 0x00 0x01 0x01 0x00 0x80,0xB00E
0.0614572400,ACK,,,,,
0.0614840600,IN,0x3C,0x00,,,0x06
0.0615109200,NAK,,,,,
0.0615577800,IN,0x3C,0x00,,,0x06
0.0615846700,NAK,,,,,
0.0616534900,IN,0x3C,0x00,,,0x06
0.0616804300,DATA0,,,,0x32 0x09 0x04 0x00 0x00 0x00 0x00 0x00,0xBDA5
0.0617483300,ACK,,,,,
0.0617624000,IN,0x3C,0x00,,,0x06
0.0617892600,NAK,,,,,
0.0618459700,IN,0x3C,0x00,,,0x06
0.0618729300,DATA1,,,,0x00 0x00,0x4FFE
0.0619094700,ACK,,,,,
0.0619281200,OUT,0x3C,0x00,,,0x06
0.0619528400,DATA1,,,,,0x0000
0.0619791800,ACK,,,,,
0.0620262100,SETUP,0x3C,0x00,,,0x06
0.0620509500,DATA0,,,,0x80 0x06 0x00 0x03 0x00 0x00 0xFF 0x00,0x64D4
0.0621214300,ACK,,,,,
0.0621455200,IN,0x3C,0x00,,,0x06
0.0621724400,NAK,,,,,
0.0623626000,IN,0x3C,0x00,,,0x06
0.0623895200,DATA1,,,,0x04 0x03 0x09 0x04,0x7809
0.0624360900,ACK,,,,,
0.0624527900,OUT,0x3C,0x00,,,0x06
0.0624775100,DATA1,,,,,0x0000
0.0625038600,ACK,,,,,
0.0625769500,SETUP,0x3C,0x00,,,0x06
0.0626016800,DATA0,,,,0x80 0x06 0x02 0x03 0x09 0x04 0xFF 0x00,0xDB97
0.0626720300,ACK,,,,,
0.0627074200,IN,0x3C,0x00,,,0x06
0.0627343600,NAK,,,,,
0.0627905000,IN,0x3C,0x00,,,0x06
0.0628173600,NAK,,,,,
0.0628700300,IN,0x3C,0x00,,,0x06
0.0628970300,DATA1,,,,0x0E 0x03 0x55 0x00 0x53 0x00 0x42 0x00,0x9920
0.0629649400,ACK,,,,,
0.0629963900,IN,0x3C,0x00,,,0x06
0.0630232000,NAK,,,,,
0.0630725100,IN,0x3C,0x00,,,0x06
0.0630994500,DATA0,,,,0x61 0x00 0x73 0x00 0x70 0x00,0xD1C8
0.0631566900,ACK,,,,,
0.0631820400,OUT,0x3C,0x00,,,0x06
0.0632067600,DATA1,,,,,0x0000
0.0632331200,ACK,,,,,
0.0640760600,SETUP,0x3C,0x00,,,0x06
0.0641007800,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x12 0x00,0xF4E0
0.0641704700,ACK,,,,,
0.0641990500,IN,0x3C,0x00,,,0x06
0.0642258900,NAK,,,,,
0.0643627300,IN,0x3C,0x00,,,0x06
0.0643897300,DATA1,,,,0x12 0x01 0x10 0x01 0xFF 0x00 0x00 0x08,0x6321
0.0644582700,ACK,,,,,
0.0644761900,IN,0x3C,0x00,,,0x06
0.0645030600,NAK,,,,,
0.0645737500,IN,0x3C,0x00,,,0x06
0.0646005700,NAK,,,,,
0.0646647200,IN,0x3C,0x00,,,0x06
0.0646916500,DATA0,,,,0xC0 0x16 0xDC 0x05 0x02 0x01 0x01 0x02,0x10CB
0.0647595600,ACK,,,,,
0.0647736300,IN,0x3C,0x00,,,0x06
0.0648004000,NAK,,,,,
0.0648593600,IN,0x3C,0x00,,,0x06
0.0648863200,DATA1,,,,0x00 0x01,0x8F3F
0.0649228700,ACK,,,,,
0.0649414500,OUT,0x3C,0x00,,,0x06
0.0649661700,DATA1,,,,,0x0000
0.0649925700,ACK,,,,,
0.0653628300,SETUP,0x3C,0x00,,,0x06
0.0653875500,DATA0,,,,0x80 0x06 0x00 0x02 0x00 0x00 0x09 0x00,0x04AE
0.0654572500,ACK,,,,,
0.0654964400,IN,0x3C,0x00,,,0x06
0.0655232500,NAK,,,,,
0.0655747800,IN,0x3C,0x00,,,0x06
0.0656015800,NAK,,,,,
0.0656658500,IN,0x3C,0x00,,,0x06
0.0656927500,DATA1,,,,0x09 0x02 0x12 0x00 0x01 0x01 0x00 0x80,0xB00E
0.0657606600,ACK,,,,,
0.0657911400,IN,0x3C,0x00,,,0x06
0.0658180100,NAK,,,,,
0.0658718000,IN,0x3C,0x00,,,0x06
0.0658987600,DATA0,,,,0x32,0x6AC1
0.0659293200,ACK,,,,,
0.0659473200,OUT,0x3C,0x00,,,0x06
0.0659720400,DATA1,,,,,0x0000
0.0659984300,ACK,,,,,
0.0663629300,SETUP,0x3C,0x00,,,0x06
0.0663876500,DATA0,,,,0x80 0x06 0x00 0x02 0x00 0x00 0x12 0x00,0xF4A4
0.0664574300,ACK,,,,,
0.0664845000,IN,0x3C,0x00,,,0x06
0.0665113500,NAK,,,,,
0.0665678800,IN,0x3C,0x00,,,0x06
0.0665946900,NAK,,,,,
0.0666659200,IN,0x3C,0x00,,,0x06
0.0666928600,DATA1,,,,0x09 0x02 0x12 0x00 0x01 0x01 0x00 0x80,0xB00E
0.0667607500,ACK,,,,,
0.0667910100,IN,0x3C,0x00,,,0x06
0.0668178600,NAK,,,,,
0.0668701000,IN,0x3C,0x00,,,0x06
0.0668969400,NAK,,,,,
0.0669579000,IN,0x3C,0x00,,,0x06
0.0669848600,DATA0,,,,0x32 0x09 0x04 0x00 0x00 0x00 0x00 0x00,0xBDA5
0.0670527600,ACK,,,,,
0.0670668300,IN,0x3C,0x00,,,0x06
0.0670937000,NAK,,,,,
0.0671215100,IN,0x3C,0x00,,,0x06
0.0671483600,NAK,,,,,
0.0671999200,IN,0x3C,0x00,,,0x06
0.0672268700,DATA1,,,,0x00 0x00,0x4FFE
0.0672634000,ACK,,,,,
0.0673630600,OUT,0x3C,0x00,,,0x06
0.0673877800,DATA1,,,,,0x0000
0.0674141200,ACK,,,,,
0.0698266700,SETUP,0x3C,0x00,,,0x06
0.0698513900,DATA0,,,,0x80 0x06 0x00 0x01 0x00 0x00 0x12 0x00,0xF4E0
0.0699210900,ACK,,,,,
0.0699515600,IN,0x3C,0x00,,,0x06
0.0699785000,NAK,,,,,
0.0700289400,IN,0x3C,0x00,,,0x06
0.0700557500,NAK,,,,,
0.0700950100,IN,0x3C,0x00,,,0x06
0.0701220100,DATA1,,,,0x12 0x01 0x10 0x01 0xFF 0x00 0x00 0x08,0x6321
0.0701905500,ACK,,,,,
0.0703632900,IN,0x3C,0x00,,,0x06
0.0703901800,DATA0,,,,0xC0 0x16 0xDC 0x05 0x02 0x01 0x01 0x02,0x10CB
0.0704580800,ACK,,,,,
0.0704726800,IN,0x3C,0x00,,,0x06
0.0704996000,NAK,,,,,
0.0705669700,IN,0x3C,0x00,,,0x06
0.0705938500,DATA1,,,,0x00 0x01,0x8F3F
0.0706303900,ACK,,,,,
0.0706554300,OUT,0x3C,0x00,,,0x06
0.0706801500,DATA1,,,,,0x0000
0.0707065200,ACK,,,,,
0.0707778800,SETUP,0x3C,0x00,,,0x06
